Date,Public Chargers,EV Sales,Fast Chargers %
2020-01-31,135458.0,374261.0,24.180174872370717
2020-02-29,209325.0,358089.0,24.528823565057515
2020-03-31,140932.0,282840.0,21.376555723314944
2020-04-30,258022.0,342135.0,28.31903945018318
2020-05-31,671639.0,264287.0,24.420229272999148
2020-06-30,328512.0,448663.0,26.40490556690899
2020-07-31,220279.0,108033.0,25.626765926524385
2020-08-31,800360.0,489733.0,25.670907094735615
2020-09-30,182530.0,479393.0,26.660976561957696
2020-10-31,238626.0,258861.0,26.733000550950095
2020-11-30,137827.0,511382.0,23.460873183585313
2020-12-31,411448.0,697849.0,25.997170701958435
2021-01-31,280816.0,276060.0,25.918862884733805
2021-02-28,192621.0,228443.0,28.13898104005499
2021-03-31,148461.0,443970.0,24.761639438830404
2021-04-30,190316.0,579682.0,25.87583398233227
2021-05-31,125057.0,1093274.0,23.378718642953316
2021-06-30,748505.0,543396.0,24.0722212750361
2021-07-31,236075.0,191221.0,27.106807358076537
2021-08-31,542104.0,711898.0,26.189057108251554
2021-09-30,209434.0,342186.0,25.485315663783428
2021-10-31,300499.0,346216.0,23.563491449072377
2021-11-30,224165.0,475510.0,24.489263033293113
2021-12-31,278910.0,300730.0,27.374369790721143
2022-01-31,514134.0,111946.0,24.345594808541016
2022-02-28,362976.0,141718.0,23.865096829832083
2022-03-31,307498.0,321209.0,26.378074562673014
2022-04-30,140712.0,200250.0,25.675611640676685
2022-05-31,578533.0,226197.0,27.36601066098034
2022-06-30,538281.0,322727.0,27.816919252034925
2022-07-31,178875.0,484230.0,27.357776205032962
2022-08-31,198359.0,521715.0,24.872273474629715
2022-09-30,285824.0,313737.0,26.79786022918311
2022-10-31,857448.0,335408.0,26.017365739906428
2022-11-30,192164.0,252032.0,26.015520169311504
2022-12-31,273677.0,211758.0,23.081768557740162
2023-01-31,415278.0,285273.0,24.045387052220036
2023-02-28,432646.0,592540.0,29.987538757815738
2023-03-31,487724.0,296272.0,24.68362150749182
2023-04-30,141816.0,210664.0,24.102263394341307
2023-05-31,170668.0,1134608.0,23.17047095114114
2023-06-30,129175.0,391806.0,26.831887042474396
2023-07-31,929910.0,467198.0,23.796398446157202
2023-08-31,461461.0,299392.0,24.377982204588932
2023-09-30,275249.0,321572.0,24.834804227142946
2023-10-31,125394.0,244170.0,21.978890329342814
2023-11-30,196634.0,501187.0,24.890408658845626
2023-12-31,279303.0,293650.0,25.84538682077936
2024-01-31,88155.0,301070.0,24.60986958172136
2024-02-29,303135.0,322878.0,25.14665867371567
2024-03-31,155231.0,571067.0,25.75214519788497
2024-04-30,142995.0,212028.0,24.152706387721995
2024-05-31,179278.0,539505.0,23.820873619069655
2024-06-30,104204.0,190272.0,27.901262793819605
2024-07-31,238803.0,252958.0,25.41022194505787
2024-08-31,187888.0,547084.0,26.900846652268434
2024-09-30,145959.0,449522.0,21.332018517776966
2024-10-31,222804.0,344858.0,24.810118446741257
2024-11-30,174420.0,527731.0,26.85860423045641
2024-12-31,833164.0,233476.0,26.749164366141187
2025-01-31,415510.0,234683.0,21.275546144407194
2025-02-28,635772.0,74029.0,26.633844166758287
2025-03-31,134397.0,497157.0,24.68739870658995
2025-04-30,112489.0,406121.0,24.87262450165421
2025-05-31,825217.0,341496.0,23.542128769111127
2025-06-30,367932.0,352988.0,26.978146100587526
2025-07-31,447012.0,153949.0,28.3566199081687
2025-08-31,437809.0,498248.0,23.94489676469611
2025-09-30,202136.0,390766.0,23.61823011611565
2025-10-31,119805.0,324001.0,25.888246642183287
